+--------------------------------------------+
|CommunityId| TABLE_NAME                     |
+--------------------------------------------+
| 0         | EXAM_ROOM_LIB_GRP_RELTN        |
| 1         | SUBSTANCE_PROPERTY             |
| 2         | DM_TRANSACTION_KEY             |
| 3         | PHA_FLEX                       |
| 4         | RAD_ENCNTR_PATH_R              |
| 5         | HIM_SYSTEM_PARAMS              |
| 6         | IM_U_NOTIFY                    |
| 7         | ROUTE_FORM_R                   |
| 7         | ITEM_DEFINITION                |
| 8         | CE_PREFS                       |
| 9         | MSG_ENCNTR_GRP_DTL_RELTN       |
| 10        | SCHEDULED_DAY_OF_WEEK          |
| 10        | FREQUENCY_SCHEDULE             |
| 10        | LOCATION_GROUP                 |
| 11        | OMF_ST_ENGINE_SCRIPTS          |
| 12        | SEAL                           |
| 12        | SEAL_PARTICIPANT               |
| 13        | SCH_APPT_NOTIFY                |
| 14        | DMS_MEDIA_XREF                 |
| 14        | DMS_MEDIA_IDENTIFIER           |
| 14        | DMS_VIEWER                     |
| 14        | DMS_CONTENT_TYPE               |
| 14        | DMS_MEDIA_INSTANCE             |
| 15        | SCH_QUOTA                      |
| 16        | EXPEDITE_TRIGGER               |
| 16        | EXPEDITE_PARAMS_R              |
| 16        | EXPEDITE_PARAMS                |
| 17        | PREFDIR_ROOT                   |
| 18        | OMF_ENCNTR_PRSNL_RELTN_ST      |
| 19        | ICD9CM_EXTENSION               |
| 20        | OMF_ENCNTR_ST_EXT              |
| 21        | RAD_SYS_CONTROLS               |
| 22        | FHX_ACTIVITY                   |
| 22        | FHX_ACTIVITY_R                 |
| 23        | PW_VARIANCE_RELTN              |
| 24        | ITEM_CONTROL_INFO              |
| 25        | HIM_PV_DOCUMENT                |
| 26        | MIC_MEDIA_DEFAULT              |
| 26        | MIC_MEDIA                      |
| 27        | OUTCOME_CAT_LOC_RELTN          |
| 28        | CE_MED_ADMIN_IDENT             |
| 29        | FILTER_ENTITY_RELTN            |
| 30        | DM_TRANSACTION_ACTIVITY        |
| 31        | TRACK_PREFS                    |
| 31        | TRACK_COMP_PREFS               |
| 32        | FSIESO_QUE_DETAILS             |
| 33        | DM_TRANSACTIONS                |
| 34        | OUTCOME_ACTIVITY               |
| 34        | OUTCOME_CRITERIA               |
| 35        | PAT_ED_DOC_FOLLOWUP            |
| 36        | MLTM_RXB_ORDER_PRN_MAP         |
| 36        | MLTM_RXB_ORDER_INSTRUCTION_MAP |
| 36        | MLTM_RXB_DICTIONARY            |
| 37        | EEM_BENEFIT_ALLOC              |
| 37        | EEM_BENEFIT                    |
| 38        | CODE_VALUE_GROUP_MODS          |
| 39        | CHARGE_MOD                     |
| 39        | BILL_ITEM                      |
| 39        | PFT_CHARGE                     |
| 39        | CHARGE_BATCH_DETAIL            |
